Iterations: 20 
      populationSize |     numOfGenerations |        Max |        Min |    Average |     Rounds 
                2400 |                  600 |   32750 ms |      16 ms |    1687 ms |         21 
                2400 |                  700 |     179 ms |      14 ms |      56 ms |         20 
                2400 |                  800 |    1373 ms |      13 ms |     142 ms |         20 
                2400 |                  900 |   75173 ms |      13 ms |   11144 ms |         23 
                2400 |                 1000 |   90470 ms |       5 ms |    4646 ms |         21 
                2400 |                 1100 |  109570 ms |       8 ms |    6584 ms |         21 
                2400 |                 1200 |  130038 ms |      21 ms |    6547 ms |         21 
                2400 |                 1300 |  155246 ms |      15 ms |   19829 ms |         22 
                2400 |                 1400 |   39459 ms |      17 ms |    2022 ms |         20 
                2400 |                 1500 |  204138 ms |      29 ms |   16208 ms |         21 
                2500 |                  500 |   24721 ms |      17 ms |    2527 ms |         22 
                2500 |                  600 |   35236 ms |      11 ms |    1814 ms |         21 
                2500 |                  700 |   95778 ms |       9 ms |    6584 ms |         22 
                2500 |                  800 |   63506 ms |       6 ms |    6372 ms |         22 
                2500 |                  900 |     344 ms |      16 ms |      71 ms |         20 
                2500 |                 1000 |    1561 ms |      21 ms |     132 ms |         20 
                2500 |                 1100 | 2427678 ms |      10 ms |  121450 ms |         21 
                2500 |                 1200 | 14065471 ms |       5 ms |  887275 ms |         21 
                2500 |                 1300 |     259 ms |       9 ms |      59 ms |         20 
                2500 |                 1400 | 5034194 ms |      10 ms |  251740 ms |         20 
                2500 |                 1500 |     182 ms |      12 ms |      56 ms |         20 
                2600 |                  500 | 1016588 ms |      11 ms |   50878 ms |         20 
                2600 |                  600 | 5080708 ms |       3 ms |  288775 ms |         21 
                2600 |                  700 | 6850041 ms |       6 ms |  342554 ms |         21 
                2600 |                  800 | 1986907 ms |       9 ms |   99402 ms |         20 
                2600 |                  900 |     104 ms |      12 ms |      47 ms |         20 
                2600 |                 1000 | 7055884 ms |      10 ms |  352861 ms |         20 
                2600 |                 1100 | 1639740 ms |      19 ms |   82117 ms |         21 
                2600 |                 1200 |    5237 ms |      10 ms |     360 ms |         20 
                2600 |                 1300 |  178733 ms |      15 ms |    9058 ms |         21 
                2600 |                 1400 |   33514 ms |      15 ms |    1949 ms |         20 
                2600 |                 1500 |  239057 ms |      17 ms |   12027 ms |         21 
                2700 |                  500 |   28373 ms |       7 ms |    2505 ms |         21 
                2700 |                  600 |   40867 ms |       6 ms |    2117 ms |         21 
                2700 |                  700 |    3287 ms |       6 ms |     268 ms |         20 
                2700 |                  800 |   72643 ms |      18 ms |    3703 ms |         21 
                2700 |                  900 |   92203 ms |       9 ms |    5264 ms |         21 
                2700 |                 1000 |     153 ms |      10 ms |      65 ms |         20 
                2700 |                 1100 |    3626 ms |      15 ms |     243 ms |         20 
                2700 |                 1200 |     127 ms |      16 ms |      45 ms |         20 
                2700 |                 1300 |     244 ms |      11 ms |      71 ms |         20 
                2700 |                 1400 |   47136 ms |      10 ms |    2406 ms |         20 
                2700 |                 1500 |    2549 ms |       6 ms |     183 ms |         20 
                2800 |                  500 |   30553 ms |      12 ms |    1600 ms |         21 
                2800 |                  600 |   12804 ms |      22 ms |    1148 ms |         20 
                2800 |                  700 |     146 ms |      19 ms |      58 ms |         20 
                2800 |                  800 |     231 ms |       7 ms |      54 ms |         20 
                2800 |                  900 |     375 ms |      10 ms |      82 ms |         20 
                2800 |                 1000 |    2348 ms |       6 ms |     170 ms |         20 
                2800 |                 1100 |     312 ms |      12 ms |      64 ms |         20 
